id,bssid,ap_name,ap_id,ssid,latitude,longitude,zone,location_name,floor,is_active,updated_at
353,08:2F:E9:BF:E7:70,AP-02,1,CMI-PDA,18.56602,99.042385,AP-02-DWS,,1,true,2026-03-13 15:58:40.867912+07
354,08:2F:E9:BF:E7:80,AP-02,1,CMI-PDA,18.56602,99.042385,AP-02-DWS,,1,true,2026-03-13 15:58:40.867912+07
355,08:2F:E9:BF:E7:81,AP-02,1,JT Express Office,18.56602,99.042385,AP-02-DWS,,1,true,2026-03-13 15:58:40.867912+07
356,94:A4:F9:93:D1:F0,AP-03,2,CMI-PDA,18.56602,99.042385,AP-03-DWS,,1,true,2026-03-13 15:58:40.867912+07
357,94:A4:F9:93:D2:00,AP-03,2,CMI-PDA,18.56602,99.042385,AP-03-DWS,,1,true,2026-03-13 15:58:40.867912+07
358,94:A4:F9:93:D2:01,AP-03,2,JT Express Office,18.56602,99.042385,AP-03-DWS,,1,true,2026-03-13 15:58:40.867912+07
359,08:2F:E9:BF:E7:10,AP-04,3,CMI-PDA,18.56602,99.042385,AP-04-DP4,,1,true,2026-03-13 15:58:40.867912+07
360,08:2F:E9:BF:E7:20,AP-04,3,CMI-PDA,18.56602,99.042385,AP-04-DP4,,1,true,2026-03-13 15:58:40.867912+07
361,08:2F:E9:BF:E7:21,AP-04,3,JT Express Office,18.56602,99.042385,AP-04-DP4,,1,true,2026-03-13 15:58:40.867912+07
362,08:2F:E9:BF:E8:90,AP-06,5,CMI-PDA,18.56602,99.042385,AP-06-DP4,,1,true,2026-03-13 15:58:40.867912+07
363,08:2F:E9:BF:E8:A0,AP-06,5,CMI-PDA,18.56602,99.042385,AP-06-DP4,,1,true,2026-03-13 15:58:40.867912+07
364,08:2F:E9:BF:E8:A1,AP-06,5,JT Express Office,18.56602,99.042385,AP-06-DP4,,1,true,2026-03-13 15:58:40.867912+07
365,08:2F:E9:BF:E9:50,AP-07,6,CMI-PDA,18.56602,99.042385,AP-07-DP3,,1,true,2026-03-13 15:58:40.867912+07
366,08:2F:E9:BF:E9:60,AP-07,6,CMI-PDA,18.56602,99.042385,AP-07-DP3,,1,true,2026-03-13 15:58:40.867912+07
367,08:2F:E9:BF:E9:61,AP-07,6,JT Express Office,18.56602,99.042385,AP-07-DP3,,1,true,2026-03-13 15:58:40.867912+07
368,08:2F:E9:BF:DB:F0,AP-08,7,CMI-PDA,18.56602,99.042385,AP-08-DP3,,1,true,2026-03-13 15:58:40.867912+07
369,08:2F:E9:BF:DC:00,AP-08,7,CMI-PDA,18.56602,99.042385,AP-08-DP3,,1,true,2026-03-13 15:58:40.867912+07
370,08:2F:E9:BF:DC:01,AP-08,7,JT Express Office,18.56602,99.042385,AP-08-DP3,,1,true,2026-03-13 15:58:40.867912+07
371,08:2F:E9:BF:EA:F0,AP-09,8,CMI-PDA,18.56602,99.042385,AP-09-DWS,,1,true,2026-03-13 15:58:40.867912+07
372,08:2F:E9:BF:EB:00,AP-09,8,CMI-PDA,18.56602,99.042385,AP-09-DWS,,1,true,2026-03-13 15:58:40.867912+07
373,08:2F:E9:BF:EB:01,AP-09,8,JT Express Office,18.56602,99.042385,AP-09-DWS,,1,true,2026-03-13 15:58:40.867912+07
374,08:2F:E9:BF:E6:D0,AP-10,9,CMI-PDA,18.56602,99.042385,AP-10-DWS,,1,true,2026-03-13 15:58:40.867912+07
375,08:2F:E9:BF:E6:E0,AP-10,9,CMI-PDA,18.56602,99.042385,AP-10-DWS,,1,true,2026-03-13 15:58:40.867912+07
376,08:2F:E9:BF:E6:E1,AP-10,9,JT Express Office,18.56602,99.042385,AP-10-DWS,,1,true,2026-03-13 15:58:40.867912+07
377,08:2F:E9:BF:EA:30,AP-11,10,CMI-PDA,18.56602,99.042385,AP-11-DWS,,1,true,2026-03-13 15:58:40.867912+07
378,08:2F:E9:BF:EA:40,AP-11,10,CMI-PDA,18.56602,99.042385,AP-11-DWS,,1,true,2026-03-13 15:58:40.867912+07
379,08:2F:E9:BF:EA:41,AP-11,10,JT Express Office,18.56602,99.042385,AP-11-DWS,,1,true,2026-03-13 15:58:40.867912+07
380,08:2F:E9:BF:EA:D0,AP-12,11,CMI-PDA,18.56602,99.042385,AP-12-GW2,,1,true,2026-03-13 15:58:40.867912+07
381,08:2F:E9:BF:EA:E0,AP-12,11,CMI-PDA,18.56602,99.042385,AP-12-GW2,,1,true,2026-03-13 15:58:40.867912+07
382,08:2F:E9:BF:EA:E1,AP-12,11,JT Express Office,18.56602,99.042385,AP-12-GW2,,1,true,2026-03-13 15:58:40.867912+07
383,08:2F:E9:BF:EA:90,AP-13,12,CMI-PDA,18.56602,99.042385,AP-13-GW3,,1,true,2026-03-13 15:58:40.867912+07
384,08:2F:E9:BF:EA:A0,AP-13,12,CMI-PDA,18.56602,99.042385,AP-13-GW3,,1,true,2026-03-13 15:58:40.867912+07
385,08:2F:E9:BF:EA:A1,AP-13,12,JT Express Office,18.56602,99.042385,AP-13-GW3,,1,true,2026-03-13 15:58:40.867912+07
386,08:2F:E9:BF:E9:90,AP-14,13,CMI-PDA,18.56602,99.042385,AP-14-DP1,,1,true,2026-03-13 15:58:40.867912+07
387,08:2F:E9:BF:E9:A0,AP-14,13,CMI-PDA,18.56602,99.042385,AP-14-DP1,,1,true,2026-03-13 15:58:40.867912+07
388,08:2F:E9:BF:E9:A1,AP-14,13,JT Express Office,18.56602,99.042385,AP-14-DP1,,1,true,2026-03-13 15:58:40.867912+07
389,08:2F:E9:BF:E6:30,AP-15,14,CMI-PDA,18.56602,99.042385,AP-15-DP1,,1,true,2026-03-13 15:58:40.867912+07
390,08:2F:E9:BF:E6:40,AP-15,14,CMI-PDA,18.56602,99.042385,AP-15-DP1,,1,true,2026-03-13 15:58:40.867912+07
391,08:2F:E9:BF:E6:41,AP-15,14,JT Express Office,18.56602,99.042385,AP-15-DP1,,1,true,2026-03-13 15:58:40.867912+07
392,08:2F:E9:BF:E5:F0,AP-16,15,CMI-PDA,18.56602,99.042385,AP-16-DP1,,1,true,2026-03-13 15:58:40.867912+07
393,08:2F:E9:BF:E6:00,AP-16,15,CMI-PDA,18.56602,99.042385,AP-16-DP1,,1,true,2026-03-13 15:58:40.867912+07
